Edad;Sexo;Total
Todas las edades;Ambos sexos;4227
Todas las edades;Hombres;3126
Todas las edades;Mujeres;1101
Menores de 15 años;Ambos sexos;12
Menores de 15 años;Hombres;9
Menores de 15 años;Mujeres;3
De 15 a 29 años;Ambos sexos;341
De 15 a 29 años;Hombres;224
De 15 a 29 años;Mujeres;117
De 30 a 39 años;Ambos sexos;436
De 30 a 39 años;Hombres;336
De 30 a 39 años;Mujeres;100
De 40 a 44 años;Ambos sexos;350
De 40 a 44 años;Hombres;273
De 40 a 44 años;Mujeres;77
De 45 a 49 años;Ambos sexos;444
De 45 a 49 años;Hombres;332
De 45 a 49 años;Mujeres;112
De 50 a 54 años;Ambos sexos;486
De 50 a 54 años;Hombres;352
De 50 a 54 años;Mujeres;134
De 55 a 59 años;Ambos sexos;479
De 55 a 59 años;Hombres;354
De 55 a 59 años;Mujeres;125
De 60 a 64 años;Ambos sexos;385
De 60 a 64 años;Hombres;297
De 60 a 64 años;Mujeres;88
De 65 a 69 años;Ambos sexos;278
De 65 a 69 años;Hombres;197
De 65 a 69 años;Mujeres;81
De 70 a 74 años;Ambos sexos;275
De 70 a 74 años;Hombres;188
De 70 a 74 años;Mujeres;87
De 75 a 79 años;Ambos sexos;212
De 75 a 79 años;Hombres;162
De 75 a 79 años;Mujeres;50
De 80 a 84 años;Ambos sexos;216
De 80 a 84 años;Hombres;155
De 80 a 84 años;Mujeres;61
De 85 a 89 años;Ambos sexos;194
De 85 a 89 años;Hombres;159
De 85 a 89 años;Mujeres;35
De 90 a 94 años;Ambos sexos;94
De 90 a 94 años;Hombres;72
De 90 a 94 años;Mujeres;22
De 95 años y más;Ambos sexos;25
De 95 años y más;Hombres;16
De 95 años y más;Mujeres;9
